contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL240705C00100000,AAPL,2024-07-05,100.00,call,113.50,120.35,119.10,53,121.60,54,0,9,2024-07-02,3.15405,0.99817,0.00009,-0.27708,0.00117,0.00818
AAPL240705P00100000,AAPL,2024-07-05,100.00,put,0.00,0.01,0.00,0,0.01,3530,0,7,2024-07-02,2.81062,-0.00062,0.00004,-0.07426,0.00043,-0.00001
AAPL240705C00105000,AAPL,2024-07-05,105.00,call,108.42,115.35,113.95,63,116.75,50,0,1,2024-07-02,2.95223,0.99816,0.00010,-0.26696,0.00118,0.00859
AAPL240705P00105000,AAPL,2024-07-05,105.00,put,0.00,0.01,0.00,0,0.01,173,0,0,2024-07-02,2.64538,-0.00066,0.00004,-0.07388,0.00046,-0.00001
AAPL240705C00110000,AAPL,2024-07-05,110.00,call,107.35,110.32,109.05,30,111.60,50,0,0,2024-07-02,2.19158,0.99984,0.00001,-0.07509,0.00012,0.00903
AAPL240705P00110000,AAPL,2024-07-05,110.00,put,0.00,0.01,0.00,0,0.01,173,0,3,2024-07-02,2.48776,-0.00070,0.00005,-0.07349,0.00049,-0.00001
AAPL240705C00115000,AAPL,2024-07-05,115.00,call,0.00,105.35,103.95,63,106.75,50,0,0,2024-07-02,2.57632,0.99814,0.00012,-0.24667,0.00118,0.00941
AAPL240705P00115000,AAPL,2024-07-05,115.00,put,0.00,0.01,0.00,0,0.01,366,0,3,2024-07-02,2.33685,-0.00075,0.00006,-0.07303,0.00051,-0.00001
AAPL240705C00120000,AAPL,2024-07-05,120.00,call,0.00,100.35,99.05,30,101.65,50,0,0,2024-07-02,2.40057,0.99814,0.00012,-0.23650,0.00118,0.00982
AAPL240705P00120000,AAPL,2024-07-05,120.00,put,0.00,0.01,0.00,0,0.01,303,0,1,2024-07-02,2.19234,-0.00080,0.00006,-0.07261,0.00055,-0.00002
AAPL240705C00125000,AAPL,2024-07-05,125.00,call,88.39,95.35,93.95,63,96.75,50,0,2,2024-07-02,2.23182,0.99815,0.00013,-0.22620,0.00118,0.01023
AAPL240705P00125000,AAPL,2024-07-05,125.00,put,0.00,0.01,0.00,0,0.01,331,0,3,2024-07-02,2.05347,-0.00085,0.00007,-0.07214,0.00058,-0.00002
AAPL240705C00130000,AAPL,2024-07-05,130.00,call,84.01,90.35,89.05,30,91.65,50,0,1,2024-07-02,2.06963,0.99817,0.00014,-0.21588,0.00117,0.01065
AAPL240705P00130000,AAPL,2024-07-05,130.00,put,0.00,0.01,0.00,0,0.01,173,0,0,2024-07-02,1.91979,-0.00091,0.00008,-0.07164,0.00061,-0.00002
AAPL240705C00135000,AAPL,2024-07-05,135.00,call,79.65,85.35,83.95,30,86.75,65,0,7,2024-07-02,1.91338,0.99820,0.00015,-0.20548,0.00115,0.01106
AAPL240705P00135000,AAPL,2024-07-05,135.00,put,0.01,0.01,0.00,0,0.01,138,1,79,2024-07-02,1.79083,-0.00097,0.00009,-0.07109,0.00065,-0.00002
AAPL240705C00140000,AAPL,2024-07-05,140.00,call,80.03,80.35,79.05,71,81.65,54,1,3,2024-07-02,1.76262,0.99824,0.00016,-0.19505,0.00113,0.01147
AAPL240705P00140000,AAPL,2024-07-05,140.00,put,0.00,0.01,0.00,0,0.01,101,0,27,2024-07-02,1.66629,-0.00104,0.00010,-0.07053,0.00070,-0.00002
AAPL240705C00145000,AAPL,2024-07-05,145.00,call,69.72,75.35,73.95,63,76.75,66,0,32,2024-07-02,1.61690,0.99830,0.00017,-0.18460,0.00109,0.01188
AAPL240705P00145000,AAPL,2024-07-05,145.00,put,0.00,0.01,0.00,0,0.01,101,0,5,2024-07-02,1.54571,-0.00112,0.00012,-0.06991,0.00074,-0.00002
AAPL240705C00150000,AAPL,2024-07-05,150.00,call,70.50,70.40,69.05,71,71.75,62,1,13,2024-07-02,1.72482,0.99443,0.00046,-0.41292,0.00318,0.01222
AAPL240705P00150000,AAPL,2024-07-05,150.00,put,0.00,0.01,0.00,0,0.01,1080,0,27,2024-07-02,1.42879,-0.00121,0.00014,-0.06921,0.00080,-0.00002
AAPL240705C00155000,AAPL,2024-07-05,155.00,call,65.00,65.35,63.95,75,66.75,53,2,12,2024-07-02,1.33825,0.99847,0.00019,-0.16335,0.00099,0.01271
AAPL240705P00155000,AAPL,2024-07-05,155.00,put,0.00,0.01,0.00,0,0.01,905,0,11,2024-07-02,1.31538,-0.00131,0.00016,-0.06851,0.00086,-0.00002
