contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AMZN240705C00100000,AMZN,2024-07-05,100.00,call,96.16,100.03,98.45,161,101.60,168,0,10,2024-07-02,2.00625,1.00000,0.00000,-0.05328,0.00000,0.00822
AMZN240705P00100000,AMZN,2024-07-05,100.00,put,0.00,0.01,0.00,0,0.01,220,0,61,2024-07-02,2.50361,-0.00076,0.00006,-0.07253,0.00048,-0.00001
AMZN240705C00105000,AMZN,2024-07-05,105.00,call,92.70,95.05,93.40,158,96.70,168,0,101,2024-07-02,2.17329,0.99963,0.00003,-0.08847,0.00025,0.00862
AMZN240705P00105000,AMZN,2024-07-05,105.00,put,0.00,0.01,0.00,0,0.01,255,0,5,2024-07-02,2.33685,-0.00082,0.00007,-0.07206,0.00051,-0.00001
AMZN240705C00110000,AMZN,2024-07-05,110.00,call,90.10,90.05,88.50,167,91.60,168,2,128,2024-07-02,1.91247,0.99980,0.00002,-0.07473,0.00014,0.00903
AMZN240705P00110000,AMZN,2024-07-05,110.00,put,0.00,0.01,0.00,0,0.01,255,0,0,2024-07-02,2.17755,-0.00088,0.00008,-0.07154,0.00054,-0.00002
AMZN240705C00115000,AMZN,2024-07-05,115.00,call,82.50,85.05,83.40,150,86.70,168,0,4,2024-07-02,1.70531,1.00000,0.00000,-0.06127,0.00000,0.00945
AMZN240705P00115000,AMZN,2024-07-05,115.00,put,0.00,0.01,0.00,0,0.01,220,0,1,2024-07-02,2.02512,-0.00094,0.00009,-0.07101,0.00058,-0.00002
AMZN240705C00120000,AMZN,2024-07-05,120.00,call,75.58,80.05,78.50,150,81.60,168,0,34,2024-07-02,1.60500,1.00000,0.00000,-0.06393,0.00000,0.00986
AMZN240705P00120000,AMZN,2024-07-05,120.00,put,0.00,0.01,0.00,0,0.01,220,0,341,2024-07-02,1.87893,-0.00101,0.00010,-0.07047,0.00062,-0.00002
AMZN240705C00125000,AMZN,2024-07-05,125.00,call,72.79,75.05,73.40,150,76.70,168,0,107,2024-07-02,1.50469,1.00000,0.00000,-0.06660,0.00000,0.01027
AMZN240705P00125000,AMZN,2024-07-05,125.00,put,0.00,0.01,0.00,0,0.01,3150,0,4939,2024-07-02,1.73824,-0.00109,0.00012,-0.06985,0.00066,-0.00002
AMZN240705C00130000,AMZN,2024-07-05,130.00,call,65.37,70.05,68.50,159,71.60,168,0,4,2024-07-02,1.40437,1.00000,0.00000,-0.06926,0.00000,0.01068
