contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
GOOGL240705C00075000,GOOGL,2024-07-05,75.00,call,100.10,110.00,108.25,50,111.75,50,0,1,2024-07-02,2.38792,1.00000,0.00000,-0.03996,0.00000,0.00616
GOOGL240705P00075000,GOOGL,2024-07-05,75.00,put,0.00,0.01,0.00,0,0.01,1,0,43,2024-07-02,3.24369,-0.00063,0.00004,-0.07327,0.00037,-0.00001
GOOGL240705C00080000,GOOGL,2024-07-05,80.00,call,0.00,105.03,103.30,50,106.75,50,0,0,2024-07-02,2.27961,1.00000,0.00000,-0.04262,0.00000,0.00657
GOOGL240705P00080000,GOOGL,2024-07-05,80.00,put,0.00,0.01,0.00,0,0.21,43,0,2,2024-07-02,3.02235,-0.00068,0.00005,-0.07287,0.00040,-0.00001
GOOGL240705C00085000,GOOGL,2024-07-05,85.00,call,88.35,100.03,98.30,50,101.75,50,0,6,2024-07-02,2.17131,1.00000,0.00000,-0.04529,0.00000,0.00698
GOOGL240705P00085000,GOOGL,2024-07-05,85.00,put,0.00,0.01,0.00,0,0.21,43,0,1,2024-07-02,2.81443,-0.00073,0.00005,-0.07245,0.00042,-0.00001
GOOGL240705C00090000,GOOGL,2024-07-05,90.00,call,90.75,95.03,93.30,50,96.75,50,0,4,2024-07-02,2.06300,1.00000,0.00000,-0.04795,0.00000,0.00739
GOOGL240705P00090000,GOOGL,2024-07-05,90.00,put,0.00,0.01,0.00,0,0.21,59,0,0,2024-07-02,2.61840,-0.00079,0.00006,-0.07203,0.00045,-0.00001
GOOGL240705C00095000,GOOGL,2024-07-05,95.00,call,0.00,90.00,88.25,50,91.75,50,0,0,2024-07-02,1.95470,1.00000,0.00000,-0.05061,0.00000,0.00780
GOOGL240705P00095000,GOOGL,2024-07-05,95.00,put,0.00,0.01,0.00,0,0.21,54,0,0,2024-07-02,2.43258,-0.00084,0.00007,-0.07153,0.00048,-0.00001
GOOGL240705C00100000,GOOGL,2024-07-05,100.00,call,0.00,85.03,83.30,50,86.75,50,0,0,2024-07-02,1.84639,1.00000,0.00000,-0.05328,0.00000,0.00822
GOOGL240705P00100000,GOOGL,2024-07-05,100.00,put,0.00,0.01,0.00,0,0.21,54,0,0,2024-07-02,2.25606,-0.00091,0.00008,-0.07099,0.00052,-0.00001
GOOGL240705C00105000,GOOGL,2024-07-05,105.00,call,77.60,80.03,78.30,60,81.75,50,0,2,2024-07-02,1.73809,1.00000,0.00000,-0.05594,0.00000,0.00863
GOOGL240705P00105000,GOOGL,2024-07-05,105.00,put,0.00,0.01,0.00,0,0.21,30,0,0,2024-07-02,2.08792,-0.00098,0.00009,-0.07045,0.00056,-0.00002
GOOGL240705C00110000,GOOGL,2024-07-05,110.00,call,72.94,75.03,73.30,50,76.75,50,0,1,2024-07-02,1.62978,1.00000,0.00000,-0.05860,0.00000,0.00904
GOOGL240705P00110000,GOOGL,2024-07-05,110.00,put,0.00,0.01,0.00,0,0.21,21,0,0,2024-07-02,1.92726,-0.00106,0.00011,-0.06987,0.00060,-0.00002
GOOGL240705C00115000,GOOGL,2024-07-05,115.00,call,60.01,70.00,68.25,50,71.75,50,0,1,2024-07-02,1.52147,1.00000,0.00000,-0.06127,0.00000,0.00945
GOOGL240705P00115000,GOOGL,2024-07-05,115.00,put,0.00,0.01,0.00,0,0.21,21,0,0,2024-07-02,1.77330,-0.00115,0.00013,-0.06924,0.00064,-0.00002
GOOGL240705C00120000,GOOGL,2024-07-05,120.00,call,63.73,65.05,63.30,50,66.80,50,0,11,2024-07-02,1.41317,1.00000,0.00000,-0.06393,0.00000,0.00986
GOOGL240705P00120000,GOOGL,2024-07-05,120.00,put,0.00,0.01,0.00,0,0.21,24,0,0,2024-07-02,1.62528,-0.00125,0.00015,-0.06850,0.00069,-0.00002
GOOGL240705C00125000,GOOGL,2024-07-05,125.00,call,60.27,60.05,58.30,50,61.80,50,0,1,2024-07-02,1.30486,1.00000,0.00000,-0.06660,0.00000,0.01027
GOOGL240705P00125000,GOOGL,2024-07-05,125.00,put,0.00,0.01,0.00,0,0.21,21,0,0,2024-07-02,1.48291,-0.00137,0.00018,-0.06776,0.00075,-0.00002
GOOGL240705C00130000,GOOGL,2024-07-05,130.00,call,53.35,55.05,53.30,50,56.80,50,0,1,2024-07-02,1.19656,1.00000,0.00000,-0.06926,0.00000,0.01068
GOOGL240705P00130000,GOOGL,2024-07-05,130.00,put,0.00,0.01,0.00,0,0.21,46,0,1,2024-07-02,1.34541,-0.00150,0.00022,-0.06691,0.00082,-0.00002
GOOGL240705C00135000,GOOGL,2024-07-05,135.00,call,48.10,50.05,48.30,50,51.80,50,0,91,2024-07-02,1.08825,1.00000,0.00000,-0.07192,0.00000,0.01109
GOOGL240705P00135000,GOOGL,2024-07-05,135.00,put,0.00,0.01,0.00,0,0.01,1,0,21,2024-07-02,1.21249,-0.00166,0.00026,-0.06600,0.00090,-0.00003
GOOGL240705C00140000,GOOGL,2024-07-05,140.00,call,44.41,45.08,43.35,50,46.80,50,0,8,2024-07-02,0.97995,1.00000,0.00000,-0.07459,0.00000,0.01150
GOOGL240705P00140000,GOOGL,2024-07-05,140.00,put,0.01,0.01,0.00,0,0.21,43,1,8,2024-07-02,1.08368,-0.00184,0.00032,-0.06501,0.00099,-0.00003
GOOGL240705C00145000,GOOGL,2024-07-05,145.00,call,39.04,40.08,38.35,50,41.80,50,3,41,2024-07-02,0.87164,1.00000,0.00000,-0.07725,0.00000,0.01191
GOOGL240705P00145000,GOOGL,2024-07-05,145.00,put,0.00,0.01,0.00,0,0.01,1,0,99,2024-07-02,0.95853,-0.00207,0.00041,-0.06392,0.00110,-0.00003
GOOGL240705C00146000,GOOGL,2024-07-05,146.00,call,34.28,39.05,37.30,50,40.80,50,0,5,2024-07-02,0.84998,1.00000,0.00000,-0.07778,0.00000,0.01199
GOOGL240705P00146000,GOOGL,2024-07-05,146.00,put,0.00,0.01,0.00,0,0.01,1,0,65,2024-07-02,0.93383,-0.00212,0.00043,-0.06364,0.00112,-0.00003
GOOGL240705C00147000,GOOGL,2024-07-05,147.00,call,0.00,38.08,36.35,50,39.80,50,0,0,2024-07-02,0.82832,1.00000,0.00000,-0.07832,0.00000,0.01208
GOOGL240705P00147000,GOOGL,2024-07-05,147.00,put,0.00,0.01,0.00,0,0.21,24,0,0,2024-07-02,0.90929,-0.00218,0.00045,-0.06338,0.00115,-0.00003
GOOGL240705C00148000,GOOGL,2024-07-05,148.00,call,0.00,37.08,35.35,50,38.80,50,0,0,2024-07-02,0.80666,1.00000,0.00000,-0.07885,0.00000,0.01216
GOOGL240705P00148000,GOOGL,2024-07-05,148.00,put,0.00,0.01,0.00,0,0.41,15,0,0,2024-07-02,0.88490,-0.00223,0.00047,-0.06312,0.00118,-0.00003
GOOGL240705C00149000,GOOGL,2024-07-05,149.00,call,35.58,36.08,34.35,50,37.80,50,0,3,2024-07-02,0.78500,1.00000,0.00000,-0.07938,0.00000,0.01224
GOOGL240705P00149000,GOOGL,2024-07-05,149.00,put,0.00,0.01,0.00,0,0.21,28,0,179,2024-07-02,0.86067,-0.00229,0.00050,-0.06288,0.00121,-0.00004
GOOGL240705C00150000,GOOGL,2024-07-05,150.00,call,34.56,35.72,34.65,50,36.80,50,0,17,2024-07-02,1.39663,0.95848,0.00379,-1.34288,0.01492,0.01166
GOOGL240705P00150000,GOOGL,2024-07-05,150.00,put,0.00,0.01,0.00,0,0.07,6,0,156,2024-07-02,0.83658,-0.00236,0.00052,-0.06265,0.00124,-0.00004
GOOGL240705C00152500,GOOGL,2024-07-05,152.50,call,31.60,32.52,30.75,60,34.30,50,0,158,2024-07-02,0.70918,1.00000,0.00000,-0.08125,0.00000,0.01253
GOOGL240705P00152500,GOOGL,2024-07-05,152.50,put,0.00,0.01,0.00,0,0.21,37,0,48,2024-07-02,0.77667,-0.00253,0.00060,-0.06193,0.00132,-0.00004
GOOGL240705C00155000,GOOGL,2024-07-05,155.00,call,30.29,30.62,29.65,50,31.60,50,1,7,2024-07-02,1.14999,0.96129,0.00434,-1.06442,0.01409,0.01212
GOOGL240705P00155000,GOOGL,2024-07-05,155.00,put,0.00,0.01,0.00,0,0.01,3,0,294,2024-07-02,0.71738,-0.00272,0.00070,-0.06113,0.00141,-0.00004
GOOGL240705C00157500,GOOGL,2024-07-05,157.50,call,24.85,28.38,27.50,50,29.25,50,0,13,2024-07-02,1.21035,0.93789,0.00602,-1.59085,0.02055,0.01195
GOOGL240705P00157500,GOOGL,2024-07-05,157.50,put,0.00,0.01,0.00,0,0.02,1,0,123,2024-07-02,0.65869,-0.00295,0.00081,-0.06026,0.00151,-0.00005
GOOGL240705C00160000,GOOGL,2024-07-05,160.00,call,25.32,25.02,23.70,66,26.35,50,46,109,2024-07-02,0.54673,1.00000,0.00000,-0.08524,0.00000,0.01314
GOOGL240705P00160000,GOOGL,2024-07-05,160.00,put,0.01,0.01,0.00,0,0.02,23,232,388,2024-07-02,0.60061,-0.00321,0.00096,-0.05937,0.00163,-0.00005
GOOGL240705C00162500,GOOGL,2024-07-05,162.50,call,21.50,22.55,21.35,62,23.75,63,0,36,2024-07-02,0.49257,1.00000,0.00000,-0.08657,0.00000,0.01335
GOOGL240705P00162500,GOOGL,2024-07-05,162.50,put,0.01,0.01,0.00,0,0.21,32,185,348,2024-07-02,0.54299,-0.00353,0.00116,-0.05838,0.00178,-0.00005
GOOGL240705C00165000,GOOGL,2024-07-05,165.00,call,18.63,20.62,20.00,58,21.25,61,33,89,2024-07-02,0.80792,0.94763,0.00789,-0.96579,0.01797,0.01273
GOOGL240705P00165000,GOOGL,2024-07-05,165.00,put,0.01,0.01,0.00,0,0.02,5,35,772,2024-07-02,0.48583,-0.00392,0.00143,-0.05734,0.00195,-0.00006
GOOGL240705C00167500,GOOGL,2024-07-05,167.50,call,17.55,17.02,15.65,99,18.40,52,38,61,2024-07-02,0.38427,1.00000,0.00000,-0.08924,0.00000,0.01376
GOOGL240705P00167500,GOOGL,2024-07-05,167.50,put,0.01,0.01,0.00,0,0.04,1,8,234,2024-07-02,0.42882,-0.00439,0.00179,-0.05601,0.00216,-0.00007
GOOGL240705C00170000,GOOGL,2024-07-05,170.00,call,15.32,15.18,14.15,108,16.20,56,14,317,2024-07-02,0.33011,1.00000,0.00000,-0.09057,0.00000,0.01397
GOOGL240705P00170000,GOOGL,2024-07-05,170.00,put,0.01,0.01,0.01,1,0.02,10,138,1714,2024-07-02,0.37211,-0.00502,0.00232,-0.05462,0.00243,-0.00008
GOOGL240705C00172500,GOOGL,2024-07-05,172.50,call,12.67,12.52,11.85,108,13.20,11,21,120,2024-07-02,0.27596,1.00000,0.00000,-0.09190,0.00000,0.01417
GOOGL240705P00172500,GOOGL,2024-07-05,172.50,put,0.02,0.01,0.00,0,0.20,127,142,1164,2024-07-02,0.31540,-0.00584,0.00314,-0.05293,0.00279,-0.00009
GOOGL240705C00175000,GOOGL,2024-07-05,175.00,call,10.60,10.28,9.15,53,11.40,60,157,1473,2024-07-02,0.22181,1.00000,0.00000,-0.09323,0.00000,0.01438
GOOGL240705P00175000,GOOGL,2024-07-05,175.00,put,0.02,0.06,0.01,3,0.10,41,316,1971,2024-07-02,0.33263,-0.02772,0.01141,-0.21378,0.01070,-0.00043
GOOGL240705C00177500,GOOGL,2024-07-05,177.50,call,7.96,7.85,6.65,84,9.05,62,129,1228,2024-07-02,0.23675,0.97829,0.01305,-0.21792,0.00871,0.01425
GOOGL240705P00177500,GOOGL,2024-07-05,177.50,put,0.03,0.04,0.03,109,0.04,52,1131,1561,2024-07-02,0.24498,-0.02543,0.01441,-0.14587,0.00996,-0.00039
GOOGL240705C00180000,GOOGL,2024-07-05,180.00,call,5.38,5.25,4.20,70,6.30,29,1229,3688,2024-07-02,0.11350,1.00000,0.00000,-0.09590,0.00000,0.01479
GOOGL240705P00180000,GOOGL,2024-07-05,180.00,put,0.09,0.08,0.07,109,0.09,139,5224,4647,2024-07-02,0.20230,-0.05506,0.03277,-0.22462,0.01870,-0.00084
GOOGL240705C00182500,GOOGL,2024-07-05,182.50,call,3.05,3.10,3.00,27,3.20,1,4566,5146,2024-07-02,0.18004,0.82843,0.08419,-0.54834,0.04275,0.01236
GOOGL240705P00182500,GOOGL,2024-07-05,182.50,put,0.24,0.24,0.23,52,0.25,18,2925,2680,2024-07-02,0.17044,-0.15853,0.08449,-0.40534,0.04062,-0.00243
GOOGL240705C00185000,GOOGL,2024-07-05,185.00,call,1.25,1.27,1.25,13,1.30,11,24395,13193,2024-07-02,0.16465,0.54921,0.14318,-0.71948,0.06649,0.00826
GOOGL240705P00185000,GOOGL,2024-07-05,185.00,put,0.89,0.95,0.84,13,1.05,22,2236,1702,2024-07-02,0.16480,-0.45083,0.14305,-0.62154,0.06649,-0.00694
GOOGL240705C00187500,GOOGL,2024-07-05,187.50,call,0.33,0.32,0.31,57,0.33,2,7029,6589,2024-07-02,0.15962,0.21171,0.10803,-0.49293,0.04863,0.00320
GOOGL240705P00187500,GOOGL,2024-07-05,187.50,put,2.60,2.41,2.20,178,2.61,39,123,222,2024-07-02,0.14087,-0.81829,0.11158,-0.29779,0.04433,-0.01266
GOOGL240705C00190000,GOOGL,2024-07-05,190.00,call,0.07,0.07,0.06,262,0.07,30,2963,4567,2024-07-02,0.17303,0.05687,0.03930,-0.20747,0.01918,0.00086
