contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM240705C00095000,IBM,2024-07-05,95.00,call,0.00,82.20,80.45,37,83.95,39,0,0,2024-07-02,1.86254,1.00000,0.00000,-0.05061,0.00000,0.00780
IBM240705P00095000,IBM,2024-07-05,95.00,put,0.00,0.01,0.00,0,0.25,87,0,1,2024-07-02,2.29051,-0.00093,0.00009,-0.07068,0.00051,-0.00001
IBM240705C00100000,IBM,2024-07-05,100.00,call,0.00,77.22,75.55,39,78.90,37,0,0,2024-07-02,1.74939,1.00000,0.00000,-0.05328,0.00000,0.00822
IBM240705P00100000,IBM,2024-07-05,100.00,put,0.00,0.01,0.00,0,0.45,54,0,0,2024-07-02,2.11307,-0.00101,0.00010,-0.07008,0.00055,-0.00002
IBM240705C00105000,IBM,2024-07-05,105.00,call,0.00,72.20,71.05,35,73.35,35,0,0,2024-07-02,1.63623,1.00000,0.00000,-0.05594,0.00000,0.00863
IBM240705P00105000,IBM,2024-07-05,105.00,put,0.00,0.01,0.00,0,0.45,54,0,0,2024-07-02,1.94402,-0.00110,0.00012,-0.06947,0.00059,-0.00002
IBM240705C00110000,IBM,2024-07-05,110.00,call,0.00,67.15,65.40,35,68.90,45,0,0,2024-07-02,1.52308,1.00000,0.00000,-0.05860,0.00000,0.00904
IBM240705P00110000,IBM,2024-07-05,110.00,put,0.00,0.01,0.00,0,0.45,54,0,0,2024-07-02,1.78229,-0.00119,0.00014,-0.06879,0.00064,-0.00002
IBM240705C00115000,IBM,2024-07-05,115.00,call,0.00,61.95,60.55,39,63.35,39,0,0,2024-07-02,1.40992,1.00000,0.00000,-0.06127,0.00000,0.00945
IBM240705P00115000,IBM,2024-07-05,115.00,put,0.00,0.01,0.00,0,0.44,54,0,0,2024-07-02,1.62726,-0.00130,0.00016,-0.06806,0.00069,-0.00002
IBM240705C00120000,IBM,2024-07-05,120.00,call,0.00,57.22,55.65,45,58.80,56,0,0,2024-07-02,1.29676,1.00000,0.00000,-0.06393,0.00000,0.00986
IBM240705P00120000,IBM,2024-07-05,120.00,put,0.00,0.01,0.00,0,0.51,96,0,12,2024-07-02,1.47818,-0.00143,0.00020,-0.06724,0.00075,-0.00002
IBM240705C00125000,IBM,2024-07-05,125.00,call,0.00,52.47,50.55,37,54.40,41,0,0,2024-07-02,1.75424,0.98870,0.00105,-0.57411,0.00477,0.01010
IBM240705P00125000,IBM,2024-07-05,125.00,put,0.00,0.01,0.00,0,0.71,54,0,0,2024-07-02,1.33459,-0.00157,0.00024,-0.06638,0.00082,-0.00002
IBM240705C00130000,IBM,2024-07-05,130.00,call,44.00,47.65,46.55,35,48.75,35,0,1,2024-07-02,1.82512,0.97505,0.00199,-1.10818,0.00938,0.01029
IBM240705P00130000,IBM,2024-07-05,130.00,put,0.00,0.01,0.00,0,0.46,61,0,0,2024-07-02,1.19587,-0.00175,0.00029,-0.06542,0.00090,-0.00003
IBM240705C00135000,IBM,2024-07-05,135.00,call,0.00,41.77,40.55,50,43.00,49,0,0,2024-07-02,0.95730,1.00000,0.00000,-0.07192,0.00000,0.01109
IBM240705P00135000,IBM,2024-07-05,135.00,put,0.00,0.01,0.00,0,0.46,54,0,0,2024-07-02,1.06157,-0.00196,0.00036,-0.06438,0.00100,-0.00003
IBM240705C00140000,IBM,2024-07-05,140.00,call,0.00,37.33,35.45,47,39.20,39,0,0,2024-07-02,0.84414,1.00000,0.00000,-0.07459,0.00000,0.01150
IBM240705P00140000,IBM,2024-07-05,140.00,put,0.00,0.01,0.00,0,0.47,84,0,31,2024-07-02,0.93109,-0.00222,0.00047,-0.06315,0.00112,-0.00003
IBM240705C00143000,IBM,2024-07-05,143.00,call,0.00,34.10,32.45,35,35.75,35,0,0,2024-07-02,0.77625,1.00000,0.00000,-0.07619,0.00000,0.01175
IBM240705P00143000,IBM,2024-07-05,143.00,put,0.00,0.01,0.00,0,0.17,173,0,25,2024-07-02,0.85457,-0.00241,0.00055,-0.06239,0.00120,-0.00004
IBM240705C00144000,IBM,2024-07-05,144.00,call,0.00,33.30,32.50,47,34.10,37,0,0,2024-07-02,0.75362,1.00000,0.00000,-0.07672,0.00000,0.01183
IBM240705P00144000,IBM,2024-07-05,144.00,put,0.00,0.01,0.00,0,0.01,1,0,0,2024-07-02,0.82926,-0.00247,0.00058,-0.06209,0.00124,-0.00004
IBM240705C00145000,IBM,2024-07-05,145.00,call,0.00,32.48,30.50,39,34.45,41,0,0,2024-07-02,1.08398,0.98214,0.00252,-0.54169,0.00707,0.01164
