contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
MSFT240705C00220000,MSFT,2024-07-05,220.00,call,233.28,239.15,237.60,50,240.70,50,0,3,2024-07-02,2.09047,1.00000,0.00000,-0.11721,0.00000,0.01807
MSFT240705P00220000,MSFT,2024-07-05,220.00,put,0.00,0.01,0.00,0,0.01,501,0,2,2024-07-02,2.48151,-0.00035,0.00001,-0.08111,0.00054,-0.00001
MSFT240705C00230000,MSFT,2024-07-05,230.00,call,0.00,229.18,227.65,50,230.70,50,0,0,2024-07-02,2.00310,1.00000,0.00000,-0.12254,0.00000,0.01890
MSFT240705P00230000,MSFT,2024-07-05,230.00,put,0.00,0.01,0.00,0,0.02,7,0,0,2024-07-02,2.33868,-0.00038,0.00001,-0.08073,0.00057,-0.00002
MSFT240705C00240000,MSFT,2024-07-05,240.00,call,212.91,219.10,217.50,50,220.70,50,0,2,2024-07-02,1.91574,1.00000,0.00000,-0.12786,0.00000,0.01972
MSFT240705P00240000,MSFT,2024-07-05,240.00,put,0.00,0.01,0.00,0,0.02,7,0,0,2024-07-02,2.20164,-0.00040,0.00002,-0.08027,0.00060,-0.00002
MSFT240705C00250000,MSFT,2024-07-05,250.00,call,0.00,209.25,207.75,50,210.75,50,0,0,2024-07-02,1.82837,1.00000,0.00000,-0.13319,0.00000,0.02054
MSFT240705P00250000,MSFT,2024-07-05,250.00,put,0.00,0.01,0.00,0,0.02,7,0,0,2024-07-02,2.07024,-0.00042,0.00002,-0.07987,0.00064,-0.00002
MSFT240705C00260000,MSFT,2024-07-05,260.00,call,191.30,199.22,197.70,54,200.75,50,0,1,2024-07-02,1.74101,1.00000,0.00000,-0.13852,0.00000,0.02136
MSFT240705P00260000,MSFT,2024-07-05,260.00,put,0.00,0.01,0.00,0,0.02,11,0,3,2024-07-02,1.94372,-0.00045,0.00002,-0.07941,0.00067,-0.00002
MSFT240705C00270000,MSFT,2024-07-05,270.00,call,183.08,189.15,187.55,50,190.75,55,0,2,2024-07-02,1.65364,1.00000,0.00000,-0.14385,0.00000,0.02218
MSFT240705P00270000,MSFT,2024-07-05,270.00,put,0.00,0.01,0.00,0,0.02,11,0,1,2024-07-02,1.82177,-0.00048,0.00002,-0.07892,0.00071,-0.00002
MSFT240705C00280000,MSFT,2024-07-05,280.00,call,0.00,179.18,177.60,50,180.75,50,0,0,2024-07-02,1.56628,1.00000,0.00000,-0.14917,0.00000,0.02300
MSFT240705P00280000,MSFT,2024-07-05,280.00,put,0.00,0.01,0.00,0,0.02,11,0,2,2024-07-02,1.70394,-0.00051,0.00003,-0.07835,0.00076,-0.00002
MSFT240705C00285000,MSFT,2024-07-05,285.00,call,0.00,174.28,172.80,53,175.75,55,0,0,2024-07-02,1.52260,1.00000,0.00000,-0.15184,0.00000,0.02341
MSFT240705P00285000,MSFT,2024-07-05,285.00,put,0.00,0.01,0.00,0,0.02,11,0,1,2024-07-02,1.64662,-0.00053,0.00003,-0.07812,0.00078,-0.00002
MSFT240705C00290000,MSFT,2024-07-05,290.00,call,163.35,169.28,167.80,55,170.75,50,0,4,2024-07-02,1.47891,1.00000,0.00000,-0.15450,0.00000,0.02383
MSFT240705P00290000,MSFT,2024-07-05,290.00,put,0.00,0.01,0.00,0,0.02,7,0,0,2024-07-02,1.59007,-0.00055,0.00003,-0.07779,0.00081,-0.00002
MSFT240705C00295000,MSFT,2024-07-05,295.00,call,0.00,164.40,163.05,43,165.75,55,0,0,2024-07-02,1.43523,1.00000,0.00000,-0.15717,0.00000,0.02424
MSFT240705P00295000,MSFT,2024-07-05,295.00,put,0.00,0.01,0.00,0,0.02,7,0,0,2024-07-02,1.53458,-0.00057,0.00003,-0.07755,0.00083,-0.00002
MSFT240705C00300000,MSFT,2024-07-05,300.00,call,152.94,159.12,157.55,50,160.70,50,0,17,2024-07-02,1.39155,1.00000,0.00000,-0.15983,0.00000,0.02465
MSFT240705P00300000,MSFT,2024-07-05,300.00,put,0.00,0.01,0.00,0,0.01,501,0,6,2024-07-02,1.47986,-0.00059,0.00003,-0.07724,0.00086,-0.00002
MSFT240705C00305000,MSFT,2024-07-05,305.00,call,0.00,154.23,152.65,50,155.80,50,0,0,2024-07-02,1.34787,1.00000,0.00000,-0.16249,0.00000,0.02506
MSFT240705P00305000,MSFT,2024-07-05,305.00,put,0.00,0.01,0.00,0,0.02,11,0,1,2024-07-02,1.42590,-0.00061,0.00004,-0.07688,0.00089,-0.00002
MSFT240705C00310000,MSFT,2024-07-05,310.00,call,139.88,148.95,147.55,50,150.35,52,0,7,2024-07-02,1.30418,1.00000,0.00000,-0.16516,0.00000,0.02547
MSFT240705P00310000,MSFT,2024-07-05,310.00,put,0.00,0.01,0.00,0,0.02,11,0,1,2024-07-02,1.37285,-0.00063,0.00004,-0.07658,0.00092,-0.00002
MSFT240705C00315000,MSFT,2024-07-05,315.00,call,138.08,144.20,142.60,50,145.80,50,0,6,2024-07-02,1.26050,1.00000,0.00000,-0.16782,0.00000,0.02588
MSFT240705P00315000,MSFT,2024-07-05,315.00,put,0.00,0.01,0.00,0,0.02,11,0,8,2024-07-02,1.32056,-0.00066,0.00004,-0.07627,0.00095,-0.00003
MSFT240705C00320000,MSFT,2024-07-05,320.00,call,136.01,139.20,137.60,50,140.80,50,2,11,2024-07-02,1.21682,1.00000,0.00000,-0.17049,0.00000,0.02629
MSFT240705P00320000,MSFT,2024-07-05,320.00,put,0.00,0.01,0.00,0,0.02,11,0,6,2024-07-02,1.26889,-0.00068,0.00004,-0.07587,0.00099,-0.00003
MSFT240705C00325000,MSFT,2024-07-05,325.00,call,92.02,134.23,132.65,50,135.80,50,0,0,2024-07-02,1.17314,1.00000,0.00000,-0.17315,0.00000,0.02670
MSFT240705P00325000,MSFT,2024-07-05,325.00,put,0.00,0.01,0.00,0,0.02,11,0,0,2024-07-02,1.21813,-0.00071,0.00005,-0.07559,0.00102,-0.00003
MSFT240705C00330000,MSFT,2024-07-05,330.00,call,0.00,129.30,127.80,56,130.80,50,0,0,2024-07-02,1.12945,1.00000,0.00000,-0.17581,0.00000,0.02711
MSFT240705P00330000,MSFT,2024-07-05,330.00,put,0.00,0.01,0.00,0,0.02,11,0,10,2024-07-02,1.16782,-0.00074,0.00005,-0.07514,0.00106,-0.00003
MSFT240705C00335000,MSFT,2024-07-05,335.00,call,0.00,124.30,122.80,50,125.80,50,0,0,2024-07-02,1.08577,1.00000,0.00000,-0.17848,0.00000,0.02752
MSFT240705P00335000,MSFT,2024-07-05,335.00,put,0.00,0.01,0.00,0,0.02,11,0,27,2024-07-02,1.11828,-0.00077,0.00006,-0.07476,0.00110,-0.00003
MSFT240705C00340000,MSFT,2024-07-05,340.00,call,0.00,119.32,117.85,50,120.80,50,0,0,2024-07-02,1.04209,1.00000,0.00000,-0.18114,0.00000,0.02793
MSFT240705P00340000,MSFT,2024-07-05,340.00,put,0.00,0.01,0.00,0,0.02,11,0,124,2024-07-02,1.06935,-0.00080,0.00006,-0.07434,0.00115,-0.00003
MSFT240705C00345000,MSFT,2024-07-05,345.00,call,112.11,114.38,113.00,50,115.75,50,1,56,2024-07-02,0.99841,1.00000,0.00000,-0.18380,0.00000,0.02834
MSFT240705P00345000,MSFT,2024-07-05,345.00,put,0.00,0.01,0.00,0,0.02,11,0,1032,2024-07-02,1.02103,-0.00084,0.00007,-0.07391,0.00119,-0.00003
MSFT240705C00350000,MSFT,2024-07-05,350.00,call,102.34,109.28,107.75,50,110.80,55,0,21,2024-07-02,0.95472,1.00000,0.00000,-0.18647,0.00000,0.02875
MSFT240705P00350000,MSFT,2024-07-05,350.00,put,0.00,0.01,0.00,0,0.02,11,0,64,2024-07-02,0.97331,-0.00088,0.00007,-0.07348,0.00124,-0.00003
MSFT240705C00355000,MSFT,2024-07-05,355.00,call,99.38,104.22,102.65,50,105.80,50,0,8,2024-07-02,0.91104,1.00000,0.00000,-0.18913,0.00000,0.02917
MSFT240705P00355000,MSFT,2024-07-05,355.00,put,0.00,0.01,0.00,0,0.02,11,0,125,2024-07-02,0.92621,-0.00092,0.00008,-0.07309,0.00130,-0.00004
MSFT240705C00360000,MSFT,2024-07-05,360.00,call,98.50,99.25,97.70,58,100.80,50,1,5,2024-07-02,0.86736,1.00000,0.00000,-0.19180,0.00000,0.02958
MSFT240705P00360000,MSFT,2024-07-05,360.00,put,0.01,0.01,0.00,0,0.01,16,1,289,2024-07-02,0.87957,-0.00097,0.00009,-0.07261,0.00136,-0.00004
