contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NFLX240705C00250000,NFLX,2024-07-05,250.00,call,0.00,429.52,425.70,50,433.35,50,0,0,2024-07-02,2.53640,1.00000,0.00000,-0.13319,0.00000,0.02054
NFLX240705P00250000,NFLX,2024-07-05,250.00,put,0.00,0.01,0.00,0,0.01,200,0,1,2024-07-02,3.23652,-0.00019,0.00000,-0.08671,0.00044,-0.00001
NFLX240705C00260000,NFLX,2024-07-05,260.00,call,0.00,419.60,415.85,50,423.35,50,0,0,2024-07-02,2.47736,1.00000,0.00000,-0.13852,0.00000,0.02136
NFLX240705P00260000,NFLX,2024-07-05,260.00,put,0.00,0.01,0.00,0,0.01,200,0,0,2024-07-02,3.11396,-0.00020,0.00000,-0.08653,0.00046,-0.00001
NFLX240705C00270000,NFLX,2024-07-05,270.00,call,0.00,409.60,405.85,50,413.35,50,0,0,2024-07-02,2.41832,1.00000,0.00000,-0.14385,0.00000,0.02218
NFLX240705P00270000,NFLX,2024-07-05,270.00,put,0.00,0.01,0.00,0,0.01,214,0,0,2024-07-02,2.99598,-0.00020,0.00000,-0.08631,0.00047,-0.00001
NFLX240705C00280000,NFLX,2024-07-05,280.00,call,0.00,399.52,395.70,50,403.35,50,0,0,2024-07-02,2.35927,1.00000,0.00000,-0.14917,0.00000,0.02300
NFLX240705P00280000,NFLX,2024-07-05,280.00,put,0.00,0.01,0.00,0,0.01,100,0,0,2024-07-02,2.88241,-0.00021,0.00000,-0.08613,0.00049,-0.00001
NFLX240705C00290000,NFLX,2024-07-05,290.00,call,0.00,389.50,385.60,50,393.40,50,0,0,2024-07-02,2.30023,1.00000,0.00000,-0.15450,0.00000,0.02383
NFLX240705P00290000,NFLX,2024-07-05,290.00,put,0.00,0.01,0.00,0,0.01,114,0,0,2024-07-02,2.77266,-0.00022,0.00000,-0.08588,0.00051,-0.00001
NFLX240705C00300000,NFLX,2024-07-05,300.00,call,0.00,379.50,375.60,50,383.40,50,0,0,2024-07-02,2.24119,1.00000,0.00000,-0.15983,0.00000,0.02465
NFLX240705P00300000,NFLX,2024-07-05,300.00,put,0.00,0.01,0.00,0,0.01,100,0,30,2024-07-02,2.66672,-0.00023,0.00001,-0.08565,0.00053,-0.00001
NFLX240705C00310000,NFLX,2024-07-05,310.00,call,0.00,369.65,365.90,50,373.40,50,0,0,2024-07-02,2.18214,1.00000,0.00000,-0.16516,0.00000,0.02547
NFLX240705P00310000,NFLX,2024-07-05,310.00,put,0.00,0.01,0.00,0,0.01,100,0,0,2024-07-02,2.56428,-0.00024,0.00001,-0.08544,0.00055,-0.00001
NFLX240705C00320000,NFLX,2024-07-05,320.00,call,0.00,359.65,355.90,50,363.40,50,0,0,2024-07-02,2.12310,1.00000,0.00000,-0.17049,0.00000,0.02629
NFLX240705P00320000,NFLX,2024-07-05,320.00,put,0.00,0.01,0.00,0,0.01,100,0,0,2024-07-02,2.46489,-0.00025,0.00001,-0.08516,0.00057,-0.00001
NFLX240705C00330000,NFLX,2024-07-05,330.00,call,0.00,349.65,345.90,50,353.40,50,0,0,2024-07-02,2.06405,1.00000,0.00000,-0.17581,0.00000,0.02711
NFLX240705P00330000,NFLX,2024-07-05,330.00,put,0.00,0.01,0.00,0,0.01,100,0,0,2024-07-02,2.36871,-0.00026,0.00001,-0.08494,0.00059,-0.00002
NFLX240705C00340000,NFLX,2024-07-05,340.00,call,339.85,339.57,335.75,50,343.40,50,0,1,2024-07-02,2.00501,1.00000,0.00000,-0.18114,0.00000,0.02793
NFLX240705P00340000,NFLX,2024-07-05,340.00,put,0.00,0.01,0.00,0,0.01,100,0,0,2024-07-02,2.27526,-0.00027,0.00001,-0.08467,0.00061,-0.00002
NFLX240705C00350000,NFLX,2024-07-05,350.00,call,0.00,329.57,325.75,50,333.40,50,0,0,2024-07-02,1.94597,1.00000,0.00000,-0.18647,0.00000,0.02875
NFLX240705P00350000,NFLX,2024-07-05,350.00,put,0.00,0.01,0.00,0,0.01,100,0,0,2024-07-02,2.18441,-0.00028,0.00001,-0.08437,0.00064,-0.00002
NFLX240705C00360000,NFLX,2024-07-05,360.00,call,324.76,319.55,315.65,50,323.45,50,0,2,2024-07-02,1.88692,1.00000,0.00000,-0.19180,0.00000,0.02958
NFLX240705P00360000,NFLX,2024-07-05,360.00,put,0.00,0.01,0.00,0,0.01,100,0,0,2024-07-02,2.09615,-0.00029,0.00001,-0.08411,0.00066,-0.00002
NFLX240705C00370000,NFLX,2024-07-05,370.00,call,0.00,309.57,305.70,50,313.45,50,0,0,2024-07-02,1.82788,1.00000,0.00000,-0.19712,0.00000,0.03040
