contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA240705C00050000,NVDA,2024-07-05,50.00,call,72.50,72.65,72.40,137,72.90,25,34,157,2024-07-02,2.37701,1.00000,0.00000,-0.02664,0.00000,0.00411
NVDA240705P00050000,NVDA,2024-07-05,50.00,put,0.00,0.01,0.00,0,0.01,689,0,1388,2024-07-02,3.33606,-0.00090,0.00008,-0.06921,0.00034,-0.00001
NVDA240705C00051000,NVDA,2024-07-05,51.00,call,0.00,71.65,71.35,162,71.95,25,0,0,2024-07-02,2.34430,1.00000,0.00000,-0.02717,0.00000,0.00419
NVDA240705P00051000,NVDA,2024-07-05,51.00,put,0.01,0.01,0.00,0,0.01,243,1,363,2024-07-02,3.26594,-0.00092,0.00009,-0.06910,0.00035,-0.00001
NVDA240705C00052000,NVDA,2024-07-05,52.00,call,72.70,70.65,70.35,162,70.95,25,0,10,2024-07-02,2.31160,1.00000,0.00000,-0.02770,0.00000,0.00427
NVDA240705P00052000,NVDA,2024-07-05,52.00,put,0.00,0.01,0.00,0,0.01,250,0,335,2024-07-02,3.19719,-0.00094,0.00009,-0.06899,0.00036,-0.00001
NVDA240705C00053000,NVDA,2024-07-05,53.00,call,69.09,69.68,69.40,138,69.95,33,21,33,2024-07-02,2.27889,1.00000,0.00000,-0.02824,0.00000,0.00435
NVDA240705P00053000,NVDA,2024-07-05,53.00,put,0.00,0.01,0.00,0,0.01,87,0,17,2024-07-02,3.12966,-0.00096,0.00009,-0.06886,0.00036,-0.00001
NVDA240705C00054000,NVDA,2024-07-05,54.00,call,67.45,68.68,68.40,138,68.95,34,1,81,2024-07-02,2.24618,1.00000,0.00000,-0.02877,0.00000,0.00444
NVDA240705P00054000,NVDA,2024-07-05,54.00,put,0.00,0.01,0.00,0,0.01,131,0,150,2024-07-02,3.06351,-0.00098,0.00010,-0.06875,0.00037,-0.00001
NVDA240705C00055000,NVDA,2024-07-05,55.00,call,67.20,67.68,67.45,111,67.90,25,100,300,2024-07-02,2.21347,1.00000,0.00000,-0.02930,0.00000,0.00452
NVDA240705P00055000,NVDA,2024-07-05,55.00,put,0.00,0.01,0.00,0,0.01,96,0,102,2024-07-02,2.99842,-0.00101,0.00010,-0.06861,0.00038,-0.00001
NVDA240705C00056000,NVDA,2024-07-05,56.00,call,66.93,66.68,66.40,139,66.95,44,0,50,2024-07-02,2.18076,1.00000,0.00000,-0.02983,0.00000,0.00460
NVDA240705P00056000,NVDA,2024-07-05,56.00,put,0.00,0.01,0.00,0,0.01,234,0,43,2024-07-02,2.93455,-0.00103,0.00011,-0.06848,0.00038,-0.00001
NVDA240705C00057000,NVDA,2024-07-05,57.00,call,66.39,65.68,65.40,142,65.95,44,0,290,2024-07-02,2.14805,1.00000,0.00000,-0.03037,0.00000,0.00468
NVDA240705P00057000,NVDA,2024-07-05,57.00,put,0.00,0.01,0.00,0,0.01,87,0,52,2024-07-02,2.87190,-0.00105,0.00011,-0.06837,0.00039,-0.00001
NVDA240705C00058000,NVDA,2024-07-05,58.00,call,63.42,64.65,64.35,165,64.95,25,10,20,2024-07-02,2.11534,1.00000,0.00000,-0.03090,0.00000,0.00477
NVDA240705P00058000,NVDA,2024-07-05,58.00,put,0.00,0.01,0.00,0,0.01,87,0,81,2024-07-02,2.81016,-0.00107,0.00011,-0.06821,0.00040,-0.00001
NVDA240705C00059000,NVDA,2024-07-05,59.00,call,65.10,63.65,63.35,165,63.95,25,0,11,2024-07-02,2.08263,1.00000,0.00000,-0.03143,0.00000,0.00485
NVDA240705P00059000,NVDA,2024-07-05,59.00,put,0.00,0.01,0.00,0,0.01,250,0,29,2024-07-02,2.74964,-0.00110,0.00012,-0.06810,0.00041,-0.00001
NVDA240705C00060000,NVDA,2024-07-05,60.00,call,64.05,62.65,62.40,128,62.90,25,0,139,2024-07-02,2.04992,1.00000,0.00000,-0.03197,0.00000,0.00493
NVDA240705P00060000,NVDA,2024-07-05,60.00,put,0.00,0.01,0.00,0,0.01,5040,0,189,2024-07-02,2.69004,-0.00112,0.00012,-0.06797,0.00042,-0.00001
NVDA240705C00061000,NVDA,2024-07-05,61.00,call,66.15,61.65,61.35,166,61.95,25,0,10,2024-07-02,2.01721,1.00000,0.00000,-0.03250,0.00000,0.00501
NVDA240705P00061000,NVDA,2024-07-05,61.00,put,0.00,0.01,0.00,0,0.01,87,0,128,2024-07-02,2.63135,-0.00115,0.00013,-0.06781,0.00042,-0.00001
NVDA240705C00062000,NVDA,2024-07-05,62.00,call,60.05,60.70,60.50,30,60.90,30,200,202,2024-07-02,2.32008,0.99960,0.00006,-0.05579,0.00016,0.00509
NVDA240705P00062000,NVDA,2024-07-05,62.00,put,0.00,0.01,0.00,0,0.01,52,0,622,2024-07-02,2.57358,-0.00117,0.00014,-0.06766,0.00043,-0.00001
NVDA240705C00063000,NVDA,2024-07-05,63.00,call,61.77,59.67,59.40,144,59.95,43,0,252,2024-07-02,1.95179,1.00000,0.00000,-0.03356,0.00000,0.00518
NVDA240705P00063000,NVDA,2024-07-05,63.00,put,0.00,0.01,0.00,0,0.01,79,0,640,2024-07-02,2.51687,-0.00120,0.00014,-0.06754,0.00044,-0.00001
NVDA240705C00064000,NVDA,2024-07-05,64.00,call,59.60,58.65,58.35,167,58.95,25,0,3,2024-07-02,1.91908,1.00000,0.00000,-0.03410,0.00000,0.00526
NVDA240705P00064000,NVDA,2024-07-05,64.00,put,0.00,0.01,0.00,0,0.01,5928,0,8954,2024-07-02,2.46093,-0.00122,0.00015,-0.06739,0.00045,-0.00001
NVDA240705C00065000,NVDA,2024-07-05,65.00,call,56.82,57.67,57.45,125,57.90,25,26,46,2024-07-02,1.88637,1.00000,0.00000,-0.03463,0.00000,0.00534
NVDA240705P00065000,NVDA,2024-07-05,65.00,put,0.01,0.01,0.00,0,0.01,4937,5,6624,2024-07-02,2.40575,-0.00125,0.00015,-0.06721,0.00046,-0.00001
NVDA240705C00066000,NVDA,2024-07-05,66.00,call,65.17,56.65,56.35,168,56.95,25,0,20,2024-07-02,1.85366,1.00000,0.00000,-0.03516,0.00000,0.00542
NVDA240705P00066000,NVDA,2024-07-05,66.00,put,0.00,0.01,0.00,0,0.01,115,0,2611,2024-07-02,2.35148,-0.00128,0.00016,-0.06707,0.00047,-0.00001
NVDA240705C00067000,NVDA,2024-07-05,67.00,call,57.09,55.67,55.40,143,55.95,42,0,29,2024-07-02,1.82095,1.00000,0.00000,-0.03570,0.00000,0.00550
NVDA240705P00067000,NVDA,2024-07-05,67.00,put,0.00,0.01,0.00,0,0.01,113,0,1581,2024-07-02,2.29798,-0.00131,0.00017,-0.06691,0.00048,-0.00001
NVDA240705C00068000,NVDA,2024-07-05,68.00,call,56.30,54.67,54.40,143,54.95,43,0,37,2024-07-02,1.78824,1.00000,0.00000,-0.03623,0.00000,0.00559
NVDA240705P00068000,NVDA,2024-07-05,68.00,put,0.00,0.01,0.00,0,0.01,113,0,5162,2024-07-02,2.24524,-0.00134,0.00018,-0.06674,0.00049,-0.00001
NVDA240705C00069000,NVDA,2024-07-05,69.00,call,53.60,53.65,53.35,169,53.95,25,0,15,2024-07-02,1.75553,1.00000,0.00000,-0.03676,0.00000,0.00567
NVDA240705P00069000,NVDA,2024-07-05,69.00,put,0.00,0.01,0.00,0,0.01,63,0,6676,2024-07-02,2.19325,-0.00137,0.00018,-0.06659,0.00050,-0.00001
NVDA240705C00070000,NVDA,2024-07-05,70.00,call,52.16,52.67,52.45,119,52.90,25,13,112,2024-07-02,1.72282,1.00000,0.00000,-0.03729,0.00000,0.00575
NVDA240705P00070000,NVDA,2024-07-05,70.00,put,0.00,0.01,0.00,0,0.01,77,0,9790,2024-07-02,2.14188,-0.00140,0.00019,-0.06639,0.00051,-0.00001
NVDA240705C00071000,NVDA,2024-07-05,71.00,call,49.44,51.67,51.40,145,51.95,25,0,19,2024-07-02,1.69011,1.00000,0.00000,-0.03783,0.00000,0.00583
NVDA240705P00071000,NVDA,2024-07-05,71.00,put,0.00,0.01,0.00,0,0.01,57,0,4283,2024-07-02,2.09128,-0.00144,0.00020,-0.06622,0.00052,-0.00002
NVDA240705C00072000,NVDA,2024-07-05,72.00,call,52.40,50.67,50.40,145,50.95,25,0,8,2024-07-02,1.65740,1.00000,0.00000,-0.03836,0.00000,0.00592
NVDA240705P00072000,NVDA,2024-07-05,72.00,put,0.00,0.01,0.00,0,0.01,113,0,2566,2024-07-02,2.04128,-0.00147,0.00021,-0.06602,0.00053,-0.00002
NVDA240705C00073000,NVDA,2024-07-05,73.00,call,50.76,49.65,49.35,174,49.95,33,0,16,2024-07-02,1.62469,1.00000,0.00000,-0.03889,0.00000,0.00600
NVDA240705P00073000,NVDA,2024-07-05,73.00,put,0.00,0.01,0.00,0,0.01,52,0,3384,2024-07-02,1.99204,-0.00150,0.00022,-0.06586,0.00054,-0.00002
NVDA240705C00074000,NVDA,2024-07-05,74.00,call,46.40,48.65,48.40,149,48.90,44,0,62,2024-07-02,1.59198,1.00000,0.00000,-0.03942,0.00000,0.00608
NVDA240705P00074000,NVDA,2024-07-05,74.00,put,0.00,0.01,0.00,0,0.01,52,0,6317,2024-07-02,1.94341,-0.00154,0.00023,-0.06568,0.00056,-0.00002
NVDA240705C00075000,NVDA,2024-07-05,75.00,call,49.00,47.67,47.45,130,47.90,30,0,132,2024-07-02,1.55927,1.00000,0.00000,-0.03996,0.00000,0.00616
NVDA240705P00075000,NVDA,2024-07-05,75.00,put,0.00,0.01,0.00,0,0.01,67,0,3582,2024-07-02,1.89524,-0.00158,0.00024,-0.06545,0.00057,-0.00002
NVDA240705C00076000,NVDA,2024-07-05,76.00,call,47.59,46.65,46.40,194,46.90,29,0,58,2024-07-02,1.52656,1.00000,0.00000,-0.04049,0.00000,0.00624
NVDA240705P00076000,NVDA,2024-07-05,76.00,put,0.00,0.01,0.00,0,0.01,67,0,6697,2024-07-02,1.84784,-0.00162,0.00025,-0.06528,0.00058,-0.00002
NVDA240705C00077000,NVDA,2024-07-05,77.00,call,44.78,45.67,45.40,194,45.95,37,9,23,2024-07-02,1.49385,1.00000,0.00000,-0.04102,0.00000,0.00633
NVDA240705P00077000,NVDA,2024-07-05,77.00,put,0.00,0.01,0.00,0,0.01,67,0,3908,2024-07-02,1.80089,-0.00166,0.00027,-0.06506,0.00059,-0.00002
NVDA240705C00078000,NVDA,2024-07-05,78.00,call,46.22,44.73,44.50,44,44.95,37,0,3293,2024-07-02,1.93061,0.99629,0.00052,-0.18611,0.00123,0.00637
NVDA240705P00078000,NVDA,2024-07-05,78.00,put,0.00,0.01,0.00,0,0.01,67,0,1406,2024-07-02,1.75455,-0.00170,0.00028,-0.06485,0.00061,-0.00002
NVDA240705C00079000,NVDA,2024-07-05,79.00,call,48.49,43.70,43.50,41,43.90,31,0,1300,2024-07-02,1.42843,1.00000,0.00000,-0.04209,0.00000,0.00649
NVDA240705P00079000,NVDA,2024-07-05,79.00,put,0.00,0.01,0.00,0,0.01,67,0,852,2024-07-02,1.70882,-0.00175,0.00029,-0.06466,0.00062,-0.00002
NVDA240705C00080000,NVDA,2024-07-05,80.00,call,42.99,42.70,42.50,33,42.90,49,54,406,2024-07-02,1.39572,1.00000,0.00000,-0.04262,0.00000,0.00657
NVDA240705P00080000,NVDA,2024-07-05,80.00,put,0.01,0.01,0.00,0,0.01,50,2,5339,2024-07-02,1.66354,-0.00179,0.00031,-0.06444,0.00064,-0.00002
NVDA240705C00081000,NVDA,2024-07-05,81.00,call,41.30,41.70,41.50,35,41.90,32,79,87,2024-07-02,1.36301,1.00000,0.00000,-0.04315,0.00000,0.00665
NVDA240705P00081000,NVDA,2024-07-05,81.00,put,0.00,0.01,0.00,0,0.01,40,0,3451,2024-07-02,1.61873,-0.00184,0.00033,-0.06420,0.00065,-0.00002
NVDA240705C00082000,NVDA,2024-07-05,82.00,call,40.60,40.67,40.50,139,40.85,25,0,63,2024-07-02,1.33030,1.00000,0.00000,-0.04369,0.00000,0.00674
NVDA240705P00082000,NVDA,2024-07-05,82.00,put,0.00,0.01,0.00,0,0.01,45,0,4781,2024-07-02,1.57452,-0.00189,0.00034,-0.06400,0.00067,-0.00002
NVDA240705C00083000,NVDA,2024-07-05,83.00,call,39.22,39.67,39.50,32,39.85,19,5,100,2024-07-02,1.29759,1.00000,0.00000,-0.04422,0.00000,0.00682
NVDA240705P00083000,NVDA,2024-07-05,83.00,put,0.00,0.01,0.00,0,0.01,45,0,1063,2024-07-02,1.53077,-0.00194,0.00036,-0.06378,0.00069,-0.00002
NVDA240705C00084000,NVDA,2024-07-05,84.00,call,40.10,38.75,38.50,137,39.00,39,0,500,2024-07-02,1.74098,0.99345,0.00095,-0.26082,0.00204,0.00683
NVDA240705P00084000,NVDA,2024-07-05,84.00,put,0.00,0.01,0.00,0,0.01,45,0,5124,2024-07-02,1.48733,-0.00199,0.00038,-0.06350,0.00070,-0.00002
NVDA240705C00085000,NVDA,2024-07-05,85.00,call,37.95,37.70,37.50,31,37.90,72,15,490,2024-07-02,1.23217,1.00000,0.00000,-0.04529,0.00000,0.00698
NVDA240705P00085000,NVDA,2024-07-05,85.00,put,0.00,0.01,0.00,0,0.01,40,0,4701,2024-07-02,1.44449,-0.00205,0.00040,-0.06327,0.00072,-0.00002
NVDA240705C00086000,NVDA,2024-07-05,86.00,call,36.87,36.65,36.45,160,36.85,25,1,56,2024-07-02,1.19947,1.00000,0.00000,-0.04582,0.00000,0.00707
