contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
PYPL240705C00035000,PYPL,2024-07-05,35.00,call,0.00,23.82,21.90,64,25.75,57,0,0,2024-07-02,1.63099,1.00000,0.00000,-0.01865,0.00000,0.00288
PYPL240705P00035000,PYPL,2024-07-05,35.00,put,0.00,0.01,0.00,0,0.01,5,0,7,2024-07-02,2.14951,-0.00275,0.00074,-0.05896,0.00045,-0.00001
PYPL240705C00040000,PYPL,2024-07-05,40.00,call,0.00,18.82,16.90,61,20.75,57,0,0,2024-07-02,1.29078,1.00000,0.00000,-0.02131,0.00000,0.00329
PYPL240705P00040000,PYPL,2024-07-05,40.00,put,0.00,0.01,0.00,0,0.01,3094,0,2,2024-07-02,1.63824,-0.00357,0.00122,-0.05683,0.00057,-0.00002
PYPL240705C00045000,PYPL,2024-07-05,45.00,call,13.10,13.88,12.00,51,15.75,51,0,2,2024-07-02,0.95056,1.00000,0.00000,-0.02397,0.00000,0.00370
PYPL240705P00045000,PYPL,2024-07-05,45.00,put,0.00,0.01,0.00,0,0.01,6,0,808,2024-07-02,1.18002,-0.00487,0.00224,-0.05406,0.00076,-0.00002
PYPL240705C00046000,PYPL,2024-07-05,46.00,call,0.00,12.82,10.90,75,14.75,52,0,0,2024-07-02,0.88252,1.00000,0.00000,-0.02451,0.00000,0.00378
PYPL240705P00046000,PYPL,2024-07-05,46.00,put,0.00,0.01,0.00,0,0.03,10,0,4,2024-07-02,1.09328,-0.00523,0.00258,-0.05338,0.00081,-0.00003
PYPL240705C00047000,PYPL,2024-07-05,47.00,call,0.00,11.77,10.10,82,13.45,72,0,0,2024-07-02,0.81448,1.00000,0.00000,-0.02504,0.00000,0.00386
PYPL240705P00047000,PYPL,2024-07-05,47.00,put,0.00,0.01,0.00,0,0.01,5,0,271,2024-07-02,1.00792,-0.00565,0.00299,-0.05265,0.00086,-0.00003
PYPL240705C00048000,PYPL,2024-07-05,48.00,call,0.00,10.72,9.20,64,12.25,74,0,0,2024-07-02,0.74643,1.00000,0.00000,-0.02557,0.00000,0.00394
PYPL240705P00048000,PYPL,2024-07-05,48.00,put,0.00,0.01,0.00,0,0.04,55,0,0,2024-07-02,0.92377,-0.00613,0.00351,-0.05184,0.00093,-0.00003
PYPL240705C00049000,PYPL,2024-07-05,49.00,call,11.25,10.18,9.90,7,10.45,65,0,3,2024-07-02,1.35532,0.94206,0.01600,-0.53505,0.00620,0.00373
PYPL240705P00049000,PYPL,2024-07-05,49.00,put,0.00,0.01,0.00,0,0.01,1976,0,788,2024-07-02,0.84070,-0.00668,0.00416,-0.05093,0.00100,-0.00003
PYPL240705C00050000,PYPL,2024-07-05,50.00,call,8.50,8.85,8.60,58,9.10,9,5,38,2024-07-02,0.61035,1.00000,0.00000,-0.02664,0.00000,0.00411
