contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
TSLA240705C00075000,TSLA,2024-07-05,75.00,call,154.11,156.38,155.60,140,157.15,161,11,49,2024-07-02,4.81148,0.99745,0.00008,-0.52457,0.00166,0.00611
TSLA240705P00075000,TSLA,2024-07-05,75.00,put,0.01,0.01,0.00,0,0.01,540,1,53,2024-07-02,3.93407,-0.00042,0.00002,-0.07645,0.00032,-0.00001
TSLA240705C00080000,TSLA,2024-07-05,80.00,call,129.93,151.15,150.00,155,152.30,150,0,1,2024-07-02,2.62445,1.00000,0.00000,-0.04262,0.00000,0.00657
TSLA240705P00080000,TSLA,2024-07-05,80.00,put,0.00,0.01,0.00,0,0.01,201,0,114,2024-07-02,3.71608,-0.00045,0.00002,-0.07620,0.00034,-0.00001
TSLA240705C00085000,TSLA,2024-07-05,85.00,call,0.00,146.18,144.90,156,147.45,156,0,0,2024-07-02,2.53770,1.00000,0.00000,-0.04529,0.00000,0.00698
TSLA240705P00085000,TSLA,2024-07-05,85.00,put,0.00,0.01,0.00,0,0.01,166,0,101,2024-07-02,3.51152,-0.00048,0.00002,-0.07594,0.00036,-0.00001
TSLA240705C00090000,TSLA,2024-07-05,90.00,call,107.38,141.30,140.30,155,142.30,150,0,1,2024-07-02,2.73410,0.99996,0.00000,-0.05403,0.00004,0.00739
TSLA240705P00090000,TSLA,2024-07-05,90.00,put,0.01,0.01,0.00,0,0.01,295,1,8,2024-07-02,3.31884,-0.00050,0.00003,-0.07568,0.00038,-0.00001
TSLA240705C00095000,TSLA,2024-07-05,95.00,call,129.19,136.18,134.90,157,137.45,156,1,6,2024-07-02,2.36419,1.00000,0.00000,-0.05061,0.00000,0.00780
TSLA240705P00095000,TSLA,2024-07-05,95.00,put,0.00,0.01,0.00,0,0.01,260,0,45,2024-07-02,3.13652,-0.00053,0.00003,-0.07538,0.00040,-0.00001
TSLA240705C00100000,TSLA,2024-07-05,100.00,call,127.95,131.28,130.05,156,132.50,150,5,35,2024-07-02,2.27744,1.00000,0.00000,-0.05328,0.00000,0.00822
TSLA240705P00100000,TSLA,2024-07-05,100.00,put,0.00,0.01,0.00,0,0.01,5053,0,627,2024-07-02,2.96351,-0.00056,0.00003,-0.07504,0.00042,-0.00001
TSLA240705C00105000,TSLA,2024-07-05,105.00,call,92.00,126.20,124.95,151,127.45,156,0,9,2024-07-02,2.19069,1.00000,0.00000,-0.05594,0.00000,0.00863
TSLA240705P00105000,TSLA,2024-07-05,105.00,put,0.00,0.01,0.00,0,0.01,248,0,321,2024-07-02,2.79903,-0.00060,0.00004,-0.07471,0.00044,-0.00001
TSLA240705C00110000,TSLA,2024-07-05,110.00,call,120.15,121.28,120.05,154,122.50,150,2,43,2024-07-02,2.10393,1.00000,0.00000,-0.05860,0.00000,0.00904
TSLA240705P00110000,TSLA,2024-07-05,110.00,put,0.01,0.01,0.00,0,0.01,9113,6,877,2024-07-02,2.64218,-0.00063,0.00004,-0.07438,0.00046,-0.00001
TSLA240705C00115000,TSLA,2024-07-05,115.00,call,103.87,116.18,114.90,156,117.45,156,3,45,2024-07-02,2.01718,1.00000,0.00000,-0.06127,0.00000,0.00945
TSLA240705P00115000,TSLA,2024-07-05,115.00,put,0.00,0.01,0.00,0,0.01,9113,0,876,2024-07-02,2.49203,-0.00067,0.00004,-0.07398,0.00049,-0.00001
TSLA240705C00120000,TSLA,2024-07-05,120.00,call,109.30,111.28,110.05,155,112.50,150,1,179,2024-07-02,1.93043,1.00000,0.00000,-0.06393,0.00000,0.00986
TSLA240705P00120000,TSLA,2024-07-05,120.00,put,0.01,0.01,0.00,0,0.01,152,23,3124,2024-07-02,2.34828,-0.00071,0.00005,-0.07361,0.00052,-0.00001
TSLA240705C00125000,TSLA,2024-07-05,125.00,call,104.80,106.20,104.95,158,107.45,150,1,147,2024-07-02,1.84367,1.00000,0.00000,-0.06660,0.00000,0.01027
TSLA240705P00125000,TSLA,2024-07-05,125.00,put,0.00,0.01,0.00,0,0.01,278,0,6864,2024-07-02,2.21002,-0.00075,0.00006,-0.07314,0.00054,-0.00002
TSLA240705C00130000,TSLA,2024-07-05,130.00,call,99.86,101.17,100.00,155,102.35,150,1,196,2024-07-02,1.75692,1.00000,0.00000,-0.06926,0.00000,0.01068
TSLA240705P00130000,TSLA,2024-07-05,130.00,put,0.01,0.01,0.00,0,0.01,237,36,4181,2024-07-02,2.07725,-0.00080,0.00006,-0.07274,0.00058,-0.00002
